age_predict,count_predict
1,1610
2,539
3,591
4,700
5,845
6,1100
7,1223
8,1555
9,1858
10,1922
11,2281
12,2512
13,2688
14,2995
15,3265
16,3602
17,3937
18,4913
19,6784
20,8060
21,8605
22,8755
23,8525
24,7490
25,6847
26,6160
27,5311
28,4487
29,3876
30,3297
31,2734
32,2328
33,1950
34,1594
35,1391
36,1189
37,1013
38,891
39,720
40,639
41,542
42,490
43,422
44,353
45,299
46,262
47,216
48,221
49,183
50,140
51,142
52,115
53,122
54,76
55,79
56,48
57,58
58,26
59,37
60,19
61,22
62,12
63,8
64,7
65,9
66,4
67,8
68,3
69,3
70,1
71,4
74,1
79,1
82,1
